"DIR";"lat";"long"
"PSJE. TELLO 200";-12,1256492;-77,0191162
"MLCON. CISNEROS 200";-12,1246388;-77,037286
"AV. PASEO DE LA REP. 5500";-12,1194024;-77,0260816
"AV. JOSE LARCO 300";-12,1203475;-77,0289558
"CA. MONTERO 100";-12,0742018;-77,0340461
"AV. GRAU 700";-12,1251276;-77,0349208
"MLCON. BALTA 800";-12,1238848;-77,0329517
"CA. BELLAVISTA 400";-12,1222915;-77,0322806
"AV. GENERAL CORDOVA 700";-12,1121104;-77,0456211
"CA. JOSE GALVEZ 600";-12,1212731;-77,0356656
"AV. CMDTE. ESPINAR 600";-12,0948297;-77,0764458
"AV. ANGAMOS ESTE 200";-12,113859;-77,0286479
"AV. GRAU 200";-12,1200699;-77,0347859
"CA. DOS DE MAYO 100";-12,1179812;-77,02965
"AV. RICARDO PALMA 200";-12,1190414;-77,028369
"CA. SAN IGNACIO DE LOYOLA 200";-12,1338136;-77,0265995
"CA. BELLAVISTA 300";-12,1220831;-77,0320568
"CA. SAN MARTIN 500";-12,1259939;-77,0293718
"AV. JOAQUIN CAPELO 400";-12,1154224;-77,0450082
"CA. GARCIA CALDERON 300";-12,1095733;-77,0326113
"AV. AREQUIPA 4500";-12,1106572;-77,0304655
"CA. JOSE OLAYA 200";-12,1294518;-77,0217619
"CA. SAN MARTIN 200";-12,1248873;-77,032091
"AV. RICARDO PALMA 500";-12,1190571;-77,0262827
"AV. JOSE PARDO 300";-12,1192066;-77,0325663
"CA. ENRIQUE PALACIOS 500";-12,1169146;-77,0332806
"CA. GENERAL SUAREZ 400";-12,1532169;-77,0086011
"CA. COLON 400";-12,1271388;-77,0309893
"AV. PETIT THOUARS 4100";-12,1031673;-77,0304732
"AV. AREQUIPA 5000";-12,1157932;-77,0295876
"CA. ENRIQUE PALACIOS 200";-12,1169803;-77,0301515
"CA. INDEPENDENCIA 600";-12,1140169;-77,0323592
"CA. GARCIA CALDERON 100";-12,1095909;-77,0308805
"CA. DOMINGO ELIAS 200";-12,1437045;-77,0083214
"CA. INDEPENDENCIA 1000";-12,1093207;-77,032522
"OV. MIRAFLORES 00";-12,1193348;-77,0292708
"AV. ROCA Y BOLOÑA 400";-12,1204037;-77,014905
"AV. AV. PETIT THOUARS 4900";-12,1113495;-77,0291074
"CA. BELLAVISTA 100";-12,1194856;-77,032013
"CA. MONTERO 400";-12,0742018;-77,0340461
"CA. ARISTIDES ALJOVIN 200";-12,1311182;-77,0289849
"AV. ALFREDO BENAVIDES 100";-12,1239476;-77,0322142
"OV. GUTIERREZ S/N00";-12,1103543;-77,0373331
"CA. FRANCIA 300";-12,122306;-77,0338116
